Titre,Sous-titre,Date,Lien
"«Cluster», «gestes barrières», «tests antigéniques»… L’abécédaire du Covid-19","Pour fêter les cinq ans du premier confinement de mars 2020, «Libération» liste les mots et néologismes apparus durant la pandémie, qui sont entrer dans le langage courant de l’époque.",2025-03-17,https://www.liberation.fr/societe/sante/cluster-gestes-barrieres-tests-antigeniques-labecedaire-du-covid-19-20250317_ELGKAOSBRZHARD57BLVZMIVTVY/
Vieillissement : quand un vaccin contre le zona protège du déclin cognitif,"Selon une étude réalisée au pays de Galles, le vaccin contre le zona diminuerait de 20 % sur sept ans le risque de déclencher des troubles cognitifs majeurs.",2025-04-02,https://www.liberation.fr/societe/sante/vieillissement-quand-un-vaccin-contre-le-zona-protege-du-declin-cognitif-20250402_ZCFCOHJFCJCX5D2ZK6TG2EHVLM/
Fin du soutien américain à l’Alliance du vaccin : «Les risques concernent le monde entier»,"Selon la presse, l’administration Trump compte arrêter de financer l’organisation, centrale dans la vaccination mondiale. Une telle mesure risque d’être catastrophique, prévient le conseiller en vaccination de MSF France.",2025-03-30,https://www.liberation.fr/societe/sante/fin-du-soutien-americain-a-lalliance-du-vaccin-les-risques-concernent-le-monde-entier-20250330_235UUF33WNFOTE5DZYBOYWVF5E/
"Cinq ans après l’apparition du Covid, le retour d’expérience de scientifiques","SERIE (1/7). Depuis 2020, Christian Lehmann tient pour «Libé» la chronique d’une société touchée par la crise sanitaire. Dans cet épisode, il a recontacté les scientifiques qu'il avait interrogés pour son «Journal d'épidémie».",2025-03-31,https://www.liberation.fr/societe/sante/cinq-ans-apres-lapparition-du-covid-le-retour-dexperience-de-scientifiques-20250331_XD7BSTQ5FZCIHOZYVZEDDKVFTY/
"Pandémies : à l’OMS, un «accord de principe» trouvé entre les pays pour mieux protéger le monde, les Etats-Unis grands absents",Les Etats membres de l’Organisation mondiale de la santé annoncent ce samedi 12 avril s’être accordés sur un texte visant à anticiper et à réagir collectivement face aux futures pandémies. Il devra être adopté en mai à Genève.,2025-04-12,https://www.liberation.fr/societe/sante/pandemies-a-loms-un-accord-de-principe-trouve-entre-les-pays-pour-mieux-proteger-le-monde-les-etats-unis-grands-absents-20250412_34KAOI5IFFHK5JHZCTX5YMXXAI/
Deux morts de la rougeole au Texas dans un contexte de défiance à l’égard des vaccins,"Deux personnes dont un mineur non-vacciné ont succombé à l’épidémie de rougeole, a annoncé ce mercredi 26 février le ministère de la Santé.",2025-02-26,https://www.liberation.fr/international/amerique/deux-morts-de-la-rougeole-au-texas-dans-un-contexte-de-defiance-a-legard-des-vaccins-20250226_AH4NIBAQRRDY3CEP5MOEBTU5WY/
Baisse du nombre d’injections contre le Covid-19 : «Il y a une mauvaise compréhension de la nécessité de se faire vacciner»,"Brigitte Autran, présidente du Comité de veille et d’anticipation des risques sanitaires, incite à la vaccination contre le Covid-19 et la grippe, alors que la campagne actuelle rencontre bien moins de succès que l'an dernier.",2024-12-12,https://www.liberation.fr/societe/sante/covid-19-il-y-a-une-mauvaise-comprehension-de-la-necessite-de-se-faire-vacciner-20241212_FO2ZJTHPDZBYZN7SBSDCJPHSZE/
"Covid-19 : cinq ans après l’épidémie, la France immunisée contre les ratés ?","En 2020, la pandémie étalait les failles du système sanitaire français. Des enseignements ont été tirés quant aux stocks de protection, aux organismes de pilotage de crise et à la préparation des soignants.",2025-02-16,https://www.liberation.fr/societe/sante/covid-19-cinq-ans-apres-la-france-immunisee-contre-les-rates-20250216_MQYRUZUMARDSND3HGIWG4J454M/
"Le Covid à long terme, ou les séquelles de la pandémie sur le système de santé","Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique d’une société touchée par les crises sanitaires et du service public.",2025-03-13,https://www.liberation.fr/societe/sante/le-covid-a-long-terme-ou-les-sequelles-de-la-pandemie-sur-le-systeme-de-sante-20250313_7UMDGF6YGNFUVO64ZKT47IC77Q/
"Rougeole aux Etats-Unis : un deuxième enfant est mort, Donald Trump minimise l’épidémie","Cette maladie très contagieuse, qui avait été éradiquée dans le pays en 2000, circule à nouveau activement depuis quelques mois. Le nouveau ministre de la Santé, Robert F. Kennedy Jr, se range enfin en faveur de la vaccination.",2025-04-07,https://www.liberation.fr/societe/sante/rougeole-aux-etats-unis-un-deuxieme-enfant-est-mort-trump-minimise-lepidemie-20250407_YI5IVKSJDRDI3M2EPNSWHLY4SY/
"Vaccins, symptômes persistants, prévention… Que reste-t-il du Covid, cinq ans après le premier mort à Wuhan ?","En l’espace de quelques semaines, un virus mystérieux surgi en Chine aura mis le monde à l’arrêt dans une pandémie meurtrière. Si la crise est derrière nous, certains de ses répercussions et enseignements demeurent.",2025-01-11,https://www.liberation.fr/societe/sante/vaccins-symptomes-persistants-prevention-que-reste-t-il-du-covid-cinq-ans-apres-le-premier-mort-a-wuhan-20250111_QGQ4YTWVCZCURC47TAMYUICUQY/
"Covid : seuls 5 % des enfants ont été vaccinés en France, le Sud-Est et les familles défavorisées moins bien lotis",Santé publique France (SPF) a publié ce mardi 10 décembre les conclusions de la première étude sur la vaccination contre le Covid-19 chez les 5- 11 ans. Elle met en lumière «des disparités régionales et sociales».,2024-12-10,https://www.liberation.fr/societe/sante/covid-seuls-5-des-enfants-ont-ete-vaccines-en-france-le-sud-est-et-les-familles-defavorisees-moins-bien-lotis-20241210_7G7OG5HYCZH6XGCOZETRDCE5BA/
"Cinq ans après, le Covid en voie de banalisation","Le virus entraîne toujours des transmissions et hospitalisations, mais son impact n’a rien à voir avec ce 2020 et 2021. Il commence s’installer parmi les autres infections respiratoires, sans être anodin et complètement prévisible.",2025-02-24,https://www.liberation.fr/societe/sante/cinq-ans-apres-le-covid-en-voie-de-banalisation-20250224_4FHZKYUZGZCUJNRRIPRPIWZ6BM/
