ID,Titre,Sous-titre,Date,Lien
LIB_2024_033,"Les vaccins ont sauvé au moins 154 millions de vies depuis 50 ans, selon l’OMS","L’étude de l’OMS, publiée ce mercredi 24 avril, montre que les vaccins ont directement contribué à réduire la mortalité infantile de 40 % dans le monde et de plus de 50 % dans la région africaine.",2024-04-24,https://www.liberation.fr/societe/sante/les-vaccins-ont-sauve-au-moins-154-millions-de-vies-depuis-50-ans-selon-loms-20240424_HFQBHXRP6BHIVPJ4X2CH7P3CWE/
LIB_2022_034,Covid-19: le régulateur européen autorise un vaccin Pfizer contre des sous-variants d’omicron,Un nouveau vaccin devrait bientôt être disponible afin de cibler les sous-lignages d’omicron. Il devrait être prêt pour la campagne de rappels de cet hiver.,2022-09-12,https://www.liberation.fr/societe/sante/covid-19-le-regulateur-europeen-autorise-un-vaccin-pfizer-contre-des-sous-variants-domicron-20220912_WLNWXLGDKVEEVPEYYRFR7ABGOY/
LIB_2022_035,"Covid-19: la huitième vague se confirme, le gouvernement s’en tient aux vaccins",L’accélération de la reprise épidémique entamée début septembre n’entraîne pour le moment pas d’autres mesures qu’une campagne de vaccination centrée sur les plus fragiles.,2022-09-23,https://www.liberation.fr/societe/sante/covid-19-la-huitieme-vague-se-confirme-le-gouvernement-sen-tient-aux-vaccins-20220923_GV2SQNNAYZC6TEGHVVBTPV4LXE/
LIB_2022_036,Covid-19: la HAS préconise une campagne de rappel avec les nouveaux vaccins bivalents,"Pour faire face à la nouvelle reprise épidémique de Covid-19, la Haute autorité de santé valide les nouveaux vaccins bivalents pour la campagne de rappel de cet automne.",2022-09-20,https://www.liberation.fr/societe/sante/covid-19-la-has-preconise-une-campagne-de-rappel-avec-les-nouveaux-vaccins-bivalents-20220920_4Q62SVH7IBHDNKSW3WKSDSYJRQ/
LIB_2024_037,Un hôpital a-t-il organisé un concours de la «seringue d’or» pour inciter à la vaccination?,"Une élue Rassemblement national a dénoncé sur X une initiative que plusieurs internautes ont pris pour une intox. La campagne de com, bien réelle, a été suspendue depuis.",2024-11-18,https://www.liberation.fr/checknews/un-hopital-a-t-il-organise-un-concours-de-la-seringue-dor-pour-inciter-a-la-vaccination-20241118_UNONIOIDF5DJHJP472K4DDMH6I/
LIB_2021_038,Covid-19 : la Haute Autorité de santé donne son feu vert à la vaccination de tous les 5-11 ans,"Après le Comité consultatif national d’éthique la semaine dernière, c’est au tour de la HAS d’approuver ce lundi la vaccination contre le Covid-19 pour tous les enfants de plus de 5 ans.",2021-12-20,https://www.liberation.fr/societe/sante/covid-19-la-haute-autorite-de-sante-donne-son-feu-vert-a-la-vaccination-de-tous-les-5-11-ans-20211220_6PEX567GYBGDFOERXRJPMJY52I/
LIB_2022_039,"Covid-19: la vaccination peut perturber le cycle menstruel mais sans réelle gravité, selon une étude","Une analyse américaine se veut rassurante sur les effets du vaccin sur les règles des femmes. Une perturbation est parfois observée, mais seulement d’une journée en moyenne.",2022-01-07,https://www.liberation.fr/societe/sante/covid-19-la-vaccination-peut-perturber-le-cycle-menstruel-mais-sans-reelle-gravite-selon-une-etude-20220107_W4PRMVG3QBAPPCWDESXZ3PWJEM/
LIB_2022_040,L’Oniam pourra-t-il indemniser les victimes d’effets secondaires imputables au vaccin contre le Covid-19?,"L’Oniam indemnise les préjudices liés aux vaccins obligatoires, mais peut aussi intervenir dans le cadre de mesures sanitaires d’urgence.",2022-01-26,https://www.liberation.fr/checknews/loniam-pourra-t-il-indemniser-les-victimes-deffets-secondaires-imputables-au-vaccin-contre-le-covid-19-20220126_PS72S2SZARHKVBT7DESP667HSM/
LIB_2022_041,Covid-19: le vaccin de Pfizer jugé «efficace» pour les moins de 5 ans,"Les laboratoires Pfizer-BioNTech viennent de faire un pas vers la légalisation du vaccin pour les moins de 5 ans, décrétant ce lundi que les 3 doses étaient «sûres et efficaces».",2022-05-23,https://www.liberation.fr/societe/sante/covid-19-le-vaccin-de-pfizer-juge-efficace-pour-les-moins-de-5-ans-20220523_NOLXNYDDTFEQVOTRUG6Y6F7TJQ/
LIB_2022_042,Covid-19: les nouveaux vaccins bivalents préconisés pour la campagne de rappel,"Ces vaccins, approuvés par l’Agence européenne du médicament, sont «mieux adaptés» aux souches virales en circulation, détaille la Haute Autorité de santé dans un avis rendu ce mardi.",2022-09-20,https://www.liberation.fr/societe/sante/covid-19-les-nouveaux-vaccins-bivalents-preconises-pour-la-campagne-de-rappel-20220920_YU5AGJS4PRA4HDLKQRURNUUZGA/
