Titre;Sous-titre;Date;Lien
Covid-19 : la France a-t-elle intérêt à imposer un test aux personnes en provenance de Chine ?;DÉCRYPTAGE - Emmanuel Macron a «demandé des mesures adaptées de protection» des Français au gouvernement, qui assure mercredi «suivre très attentivement l'évolution de la situation en Chine», confrontée à une explosion des cas de Covid.;28/12/2022;https://www.lefigaro.fr/sciences/covid-19-la-france-doit-elle-imposer-un-test-aux-personnes-en-provenance-de-chine-20221228
Gérald Kierzek: «Le masque est un gadget politique qui éclipse la crise générale du système de santé»;FIGAROVOX/ENTRETIEN - Alors que le gouvernement n'exclut plus un retour au masque obligatoire, le médecin urgentiste plaide pour des mesures plus adaptées et une vision de long terme. Selon lui, une réorganisation de l'hôpital public est nécessaire.;09/12/2022;https://www.lefigaro.fr/vox/societe/gerald-kierzek-le-masque-est-un-gadget-politique-qui-eclipse-la-crise-generale-du-systeme-de-sante-20221209
«Je ne compte pas rentrer de suite» : la réticence des expatriés chinois;TÉMOIGNAGES - Dès le 8 janvier 2023, les quarantaines à l'arrivée ne seront plus obligatoires en Chine. Seul un test négatif de moins de 48 heures sera exigé aux touristes ou expatriés.;28/12/2022;https://www.lefigaro.fr/actualite-france/je-ne-compte-pas-rentrer-de-suite-la-reticence-des-expatries-chinois-20221228
Covid-19 : seuls 40% des plus de 70 ans ont reçu un nouveau rappel de vaccin;D'après les dernières données, la France a passé le pic de la neuvième vague de Covid-19, au niveau des contaminations et certainement dans les hôpitaux.;27/12/2022;https://sante.lefigaro.fr/covid-19-seuls-40-des-plus-de-70-ans-ont-recu-un-nouveau-rappel-de-vaccin-20221227
Au marché de Rungis, un Noël en demi-teinte sur fond d'inflation et de grippe aviaire;REPORTAGE - À quelques jours des fêtes, dindes, huîtres et sapins se vendent tant bien que mal dans le plus grand marché de produits frais d'Europe.;23/12/2022;https://www.lefigaro.fr/conso/au-marche-de-rungis-un-noel-en-demi-teinte-sur-fond-d-inflation-et-de-grippe-aviaire-20221223
Covid-19 : la Chine face à la vague Omicron, l'OMS «très préoccupée»;LE POINT SUR LA SITUATION - Face à la situation sanitaire de la Chine, l'OMS, mais aussi Washington, tirent la sonnette d'alarme et exigent des informations plus détaillées.;22/12/2022;https://www.lefigaro.fr/international/covid-19-la-chine-face-a-la-vague-omicron-l-oms-tres-preoccupee-20221222
La cause de la mort mystérieuse à 32 ans de Charlbi Dean, actrice de la palme d'or 2022, enfin dévoilée;L'héroïne de Sans filtre, de Ruben Östlund, palme d'or du dernier Festival de Cannes, est morte soudainement en août à l'âge de 32 ans.;22/12/2022;https://madame.lefigaro.fr/celebrites/actu-people/la-cause-de-la-mort-mysterieuse-a-32-ans-de-charlbi-dean-actrice-de-la-palme-d-or-2022-enfin-devoilee-20221222
Vaccination et masques face à la triple épidémie, exhorte Élisabeth Borne;La première ministre a assuré que tous les Français avaient un «rôle à jouer» pour aider les personnels soignants, notamment grâce aux gestes barrières.;20/12/2022;https://sante.lefigaro.fr/social/sante-publique/vaccination-et-masques-face-a-la-triple-epidemie-exhorte-elisabeth-borne-20221220
De @ElonJet aux comptes utiles ou drôles, comment les «bots» font partie de l'ADN de Twitter;Loin d'être toujours malveillants, les comptes automatisés, comme celui qui géolocalisait en temps réel le jet privé d'Elon Musk, sont au cœur de la culture sur le réseau social.;16/12/2022;https://www.lefigaro.fr/secteur/high-tech/de-atelonjet-aux-comptes-utiles-ou-droles-comment-les-bots-font-partie-de-l-adn-de-twitter-20221216
Covid-19, ce qu'il faut savoir cette semaine : vers la fin de l'urgence sanitaire mondiale?;Alors que la France compte plus de 160.000 morts du Covid depuis le début de l'épidémie, la fin de l'urgence de santé publique au niveau mondial est espérée pour 2023.;16/12/2022;https://sante.lefigaro.fr/covid-19-ce-qu-il-faut-savoir-cette-semaine-vers-la-fin-de-l-urgence-sanitaire-mondiale-20221216
Qu'est-ce que le néolibéralisme et pourquoi est-ce terminé ?;FIGAROVOX/LECTURE - Dans son dernier essai «Déclin et chute du néolibéralisme» (De Boeck Supérieur), l'économiste David Cayla estime que la doctrine néolibérale est en train de s'essouffler. Face à ce constat, il propose plusieurs alternatives à ce modèle.;15/12/2022;https://www.lefigaro.fr/vox/culture/qu-est-ce-que-le-neoliberalisme-et-pourquoi-est-ce-termine-20221215
